iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
52,-0.28816314882412086,40,222,281,0.0,0.19999999999999893,0.19999999999999904,0.19999999999999904,0.19999999999999904,0.19999999999999907,0.3996705566920434,0.3996705566920434,0.3996705566920434,0.3996705566920434,0.3996705566920434
53,-0.21663789327449362,40,222,281,0.0,0.19999999999999885,0.19999999999999885,0.19999999999999887,0.19999999999999887,0.1999999999999988,0.3738640086911042,0.3738640086911042,0.3738640086911042,0.3738640086911042,0.3738640086911042
54,-0.2550532273824924,40,222,281,0.0,0.1999999999999989,0.19999999999999896,0.19999999999999907,0.19999999999999904,0.19999999999999898,0.4663675074970997,0.4663675074970997,0.4663675074970997,0.4663675074970997,0.4663675074970997
55,-0.1840350280627771,40,222,281,0.0,0.19999999999999904,0.19999999999999932,0.1999999999999992,0.19999999999999915,0.1999999999999993,0.430763735821294,0.430763735821294,0.430763735821294,0.430763735821294,0.430763735821294
56,-0.2206963874087083,40,222,281,0.0,0.1999999999999984,0.19999999999999854,0.19999999999999846,0.1999999999999984,0.1999999999999984,0.43139745337083174,0.43139745337083174,0.43139745337083174,0.43139745337083174,0.43139745337083174
57,-0.1558569671271782,40,222,281,0.0,0.19999999999999815,0.19999999999999818,0.19999999999999826,0.19999999999999826,0.19999999999999835,0.37859181995518143,0.37859181995518143,0.37859181995518143,0.37859181995518143,0.37859181995518143
58,-0.12265868959457249,40,222,281,0.0,0.1999999999999991,0.1999999999999991,0.199999999999999,0.1999999999999991,0.199999999999999,0.40359976064851305,0.40359976064851305,0.40359976064851305,0.40359976064851305,0.40359976064851305
59,-0.05357054018112754,40,222,281,0.0,0.19999999999999957,0.1999999999999996,0.19999999999999957,0.19999999999999957,0.1999999999999996,0.3906434127489683,0.3906434127489683,0.3906434127489683,0.3906434127489683,0.3906434127489683
60,-0.030789897641845466,40,222,281,0.0,0.19999999999999846,0.1999999999999984,0.19999999999999846,0.19999999999999854,0.1999999999999984,0.38383193621839934,0.38383193621839934,0.38383193621839934,0.38383193621839934,0.38383193621839934
61,0.0051648946522905885,40,222,281,0.0,0.19999999999999807,0.19999999999999798,0.19999999999999812,0.1999999999999981,0.19999999999999796,0.41167185638921705,0.41167185638921705,0.41167185638921705,0.41167185638921705,0.41167185638921705
62,0.03501174798514446,40,222,281,0.0,0.1999999999999988,0.19999999999999887,0.1999999999999988,0.19999999999999887,0.1999999999999989,0.3596768594609039,0.3596768594609039,0.3596768594609039,0.3596768594609039,0.3596768594609039
63,0.07732641612833346,40,222,281,0.0,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.19999999999999957,0.3945478404391281,0.3945478404391281,0.3945478404391281,0.3945478404391281,0.3945478404391281
64,0.08291445213413705,40,222,281,0.0,0.19999999999999937,0.19999999999999937,0.19999999999999934,0.1999999999999994,0.19999999999999937,0.4080143884963123,0.4080143884963123,0.4080143884963123,0.4080143884963123,0.4080143884963123
65,0.09979310056869863,40,222,281,0.0,0.19999999999999982,0.19999999999999965,0.19999999999999982,0.19999999999999982,0.19999999999999965,0.38717193711128495,0.38717193711128495,0.38717193711128495,0.38717193711128495,0.38717193711128495
66,0.12654331563426385,40,222,281,0.0,0.1999999999999985,0.19999999999999854,0.1999999999999985,0.1999999999999985,0.19999999999999848,0.3703394975219557,0.3703394975219557,0.3703394975219557,0.3703394975219557,0.3703394975219557
67,0.14948378452131342,40,222,281,0.0,0.19999999999999943,0.19999999999999943,0.19999999999999937,0.19999999999999948,0.19999999999999943,0.36263819648793083,0.36263819648793083,0.36263819648793083,0.36263819648793083,0.36263819648793083
